センター Center
グルーブ Groove
腰 Waist
下半身 LowerBody
上半身 UpperBody
上半身2 UpperBody2
上半身3 UpperBody3
首 Neck
頭 Head
両目 BothEyes
左目 LeftEye
右目 RightEye
左肩 LeftShoulder
左腕 LeftArm
左ひじ LeftElbow
左手首 LeftWrist
右肩 RightShoulder
右腕 RightArm
右ひじ RightElbow
右手首 RightWrist
左足 LeftLeg
左ひざ LeftKnee
左足首 LeftAnkle
右足 RightLeg
右ひざ RightKnee
右足首 RightAnkle
左つま先 LeftToe
右つま先 RightToe
左腕IK LeftArmIK
右腕IK RightArmIK
左足IK LeftLegIK
右足IK RightLegIK
左足首IK LeftAnkleIK
右足首IK RightAnkleIK
左ひざ補助 LeftKneeHelper
右ひざ補助 RightKneeHelper
左親指1 LeftThumb1
左親指2 LeftThumb2
左親指3 LeftThumb3
左人指1 LeftIndex1
左人指2 LeftIndex2
左人指3 LeftIndex3
左中指1 LeftMiddle1
左中指2 LeftMiddle2
左中指3 LeftMiddle3
左薬指1 LeftRing1
左薬指2 LeftRing2
左薬指3 LeftRing3
左小指1 LeftPinky1
左小指2 LeftPinky2
左小指3 LeftPinky3
右親指1 RightThumb1
右親指2 RightThumb2
右親指3 RightThumb3
右人指1 RightIndex1
右人指2 RightIndex2
右人指3 RightIndex3
右中指1 RightMiddle1
右中指2 RightMiddle2
右中指3 RightMiddle3
右薬指1 RightRing1
右薬指2 RightRing2
右薬指3 RightRing3
右小指1 RightPinky1
右小指2 RightPinky2
右小指3 RightPinky3
